config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.677785,3,true,17.941,"16 68 49"
GRASP_RW_BI_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.677785,3,true,5.201,"68 49 16"
GRASP_FI_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.677785,3,true,18.693,"16 68 49"
RPG_p=5,2-FACE.i,200,3,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.677785,3,true,20.482,"68 16 49"
RPG_p=10,2-FACE.i,200,3,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.677785,3,true,17.082,"16 68 49"
RPG_p=20,2-FACE.i,200,3,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.677785,3,true,17.802,"68 49 16"
GRASP_POP_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.677785,3,true,23.739,"16 68 49"
GRASP_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.592568,4,true,39.821,"57 16 50 154"
GRASP_RW_BI_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.592568,4,true,7.890,"57 50 16 154"
GRASP_FI_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.592568,4,true,33.628,"16 50 57 154"
RPG_p=5,2-FACE.i,200,4,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.592568,4,true,39.370,"16 57 50 154"
RPG_p=10,2-FACE.i,200,4,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.592568,4,true,38.902,"154 16 57 50"
RPG_p=20,2-FACE.i,200,4,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.592568,4,true,36.664,"57 50 16 154"
GRASP_POP_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.592568,4,true,44.235,"154 16 57 50"
GRASP_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.513669,5,true,66.339,"16 154 46 106 58"
GRASP_RW_BI_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.513669,5,true,10.364,"46 58 16 154 106"
GRASP_FI_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.513669,5,true,65.723,"16 46 58 106 154"
RPG_p=5,2-FACE.i,200,5,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.513669,5,true,64.937,"46 154 16 58 106"
RPG_p=10,2-FACE.i,200,5,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.513669,5,true,63.789,"16 46 106 154 58"
RPG_p=20,2-FACE.i,200,5,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.513669,5,true,62.577,"16 154 106 58 46"
GRASP_POP_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.513669,5,true,77.568,"16 154 46 58 106"
GRASP_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.455188,6,true,109.884,"186 154 106 16 194 85"
GRASP_RW_BI_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.455188,6,true,11.784,"186 194 16 106 154 85"
GRASP_FI_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.455188,6,true,127.041,"106 16 154 186 194 85"
RPG_p=5,2-FACE.i,200,6,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.455188,6,true,107.750,"154 16 85 194 186 106"
RPG_p=10,2-FACE.i,200,6,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.455188,6,true,105.494,"85 106 186 16 154 194"
