config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_alpha=0.050000,A1.I,3000,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.731002,3,true,904.102,"1090 185 2308"
GRASP_RW_BI_alpha=0.050000,A1.I,3000,3,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,true,-0.731002,3,true,900.582,"1090 2308 185"
GRASP_FI_alpha=0.050000,A1.I,3000,3,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.731002,3,true,902.237,"1090 2308 185"
RPG_p=5,A1.I,3000,3,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.731002,3,true,910.508,"2308 1090 185"
RPG_p=10,A1.I,3000,3,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.731002,3,true,901.841,"1090 2308 185"
RPG_p=20,A1.I,3000,3,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.731002,3,true,905.894,"1090 185 2308"
GRASP_POP_alpha=0.050000,A1.I,3000,3,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.731168,3,true,903.009,"2308 570 879"
GRASP_alpha=0.050000,A1.I,3000,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.626192,4,true,908.334,"1090 2690 55 2020"
GRASP_RW_BI_alpha=0.050000,A1.I,3000,4,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,true,-0.626192,4,true,901.884,"1090 2020 55 2690"
GRASP_FI_alpha=0.050000,A1.I,3000,4,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.626192,4,true,916.685,"1090 2690 55 2020"
RPG_p=5,A1.I,3000,4,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.626192,4,true,903.697,"55 1090 2690 2020"
RPG_p=10,A1.I,3000,4,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.626192,4,true,911.233,"55 2690 2020 1090"
RPG_p=20,A1.I,3000,4,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.626192,4,true,900.119,"2690 1090 55 2020"
GRASP_POP_alpha=0.050000,A1.I,3000,4,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.639284,4,true,900.545,"2308 813 112 464"
GRASP_alpha=0.050000,A1.I,3000,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.538745,5,true,911.126,"813 2001 2678 112 464"
GRASP_RW_BI_alpha=0.050000,A1.I,3000,5,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,true,-0.538865,5,true,902.553,"813 2690 31 496 2074"
GRASP_FI_alpha=0.050000,A1.I,3000,5,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.538745,5,true,934.937,"2001 2678 813 112 464"
RPG_p=5,A1.I,3000,5,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.538745,5,true,919.604,"2678 2001 813 112 464"
RPG_p=10,A1.I,3000,5,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.538745,5,true,913.850,"2678 2001 813 112 464"
RPG_p=20,A1.I,3000,5,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.538745,5,true,946.457,"813 2678 2001 112 464"
GRASP_POP_alpha=0.050000,A1.I,3000,5,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.538745,5,true,913.236,"813 112 464 2001 2678"
GRASP_alpha=0.050000,A1.I,3000,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.481904,6,true,901.801,"2001 2678 185 1395 1125 1542"
GRASP_RW_BI_alpha=0.050000,A1.I,3000,6,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,true,-0.481907,6,true,902.634,"1125 2001 187 2678 1395 1575"
GRASP_FI_alpha=0.050000,A1.I,3000,6,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.481904,6,true,966.085,"1395 1125 185 1542 2678 2001"
RPG_p=5,A1.I,3000,6,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.481904,6,true,900.599,"2678 185 2001 1395 1125 1542"
RPG_p=10,A1.I,3000,6,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.481904,6,true,922.079,"185 1395 2678 1125 2001 1542"
RPG_p=20,A1.I,3000,6,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.481904,6,true,908.833,"2678 2001 1542 185 1395 1125"
GRASP_POP_alpha=0.050000,A1.I,3000,6,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.481973,6,true,910.312,"2690 2074 185 1395 1125 1542"
GRASP_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,false,-38.308347,3,true,8.221,"7 13 11"
GRASP_RW_BI_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-38.308347,3,true,3.359,"11 13 7"
GRASP_FI_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,false,-38.308347,3,true,5.952,"7 13 11"
RPG_p=5,BreastB.I,49,3,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,false,-38.308347,3,true,10.590,"11 13 7"
RPG_p=10,BreastB.I,49,3,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,false,-38.308347,3,true,9.612,"7 13 11"
RPG_p=20,BreastB.I,49,3,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,false,-38.308347,3,true,8.301,"7 13 11"
