config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_WLS_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.683079,3,true,10.004,"47 68 16"
GRASP_WLS_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.594463,4,true,10.001,"57 51 15 154"
GRASP_WLS_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.516260,5,true,10.002,"46 191 16 130 106"
GRASP_WLS_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.455521,6,true,10.011,"186 194 16 130 106 85"
GRASP_WLS_alpha=0.050000,200DATA.I,200,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.372686,3,true,7.801,"63 171 125"
GRASP_WLS_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.268137,4,true,10.001,"57 181 128 54"
GRASP_WLS_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.234814,5,true,10.002,"63 170 134 61 75"
GRASP_WLS_alpha=0.050000,200DATA.I,200,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.215381,6,true,10.004,"69 175 133 40 60 28"
GRASP_WLS_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.289501,3,true,10.013,"77 374 245"
GRASP_WLS_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.246474,4,true,10.010,"77 319 238 275"
GRASP_WLS_alpha=0.050000,400p3c.i,400,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.217843,5,true,10.002,"8 343 268 78 240"
GRASP_WLS_alpha=0.050000,400p3c.i,400,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.200088,6,true,10.030,"117 312 268 199 243 169"
GRASP_WLS_alpha=0.050000,A1.I,3000,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.742020,3,true,10.664,"1086 2334 337"
GRASP_WLS_alpha=0.050000,A1.I,3000,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.666234,4,true,10.335,"1047 2512 427 1409"
GRASP_WLS_alpha=0.050000,A1.I,3000,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.560119,5,true,11.282,"1117 1995 66 2764 520"
GRASP_WLS_alpha=0.050000,A1.I,3000,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.510010,6,true,11.063,"1122 2125 290 2830 1489 1546"
GRASP_WLS_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-38.308347,3,true,0.294,"7 13 11"
GRASP_WLS_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-36.947697,4,true,0.492,"7 13 11 18"
GRASP_WLS_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-35.724731,5,true,0.632,"7 13 11 18 10"
GRASP_WLS_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-34.534918,6,true,0.680,"34 7 13 11 18 10"
GRASP_WLS_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.610687,3,true,10.002,"315 103 200"
GRASP_WLS_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.502442,4,true,10.019,"315 102 200 373"
GRASP_WLS_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.446202,5,true,10.023,"315 69 192 292 140"
GRASP_WLS_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.411971,6,true,10.025,"315 61 208 371 139 165"
GRASP_WLS_alpha=0.050000,Concrete_Data.i,1030,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.484092,3,true,10.085,"906 760 291"
GRASP_WLS_alpha=0.050000,Concrete_Data.i,1030,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.309238,4,true,10.032,"958 760 291 679"
GRASP_WLS_alpha=0.050000,Concrete_Data.i,1030,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.192142,5,true,10.149,"969 760 291 648 142"
GRASP_WLS_alpha=0.050000,Concrete_Data.i,1030,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.075425,6,true,10.059,"889 271 789 106 671 58"
GRASP_WLS_alpha=0.050000,DBLCA.I,141,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-27.247312,3,true,2.308,"27 78 116"
GRASP_WLS_alpha=0.050000,DBLCA.I,141,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-26.793509,4,true,2.956,"125 27 78 124"
GRASP_WLS_alpha=0.050000,DBLCA.I,141,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-26.357255,5,true,4.598,"125 27 78 124 63"
GRASP_WLS_alpha=0.050000,DBLCA.I,141,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-25.987869,6,true,5.815,"50 125 27 63 124 100"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-27.225292,3,true,3.263,"151 0 66"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-26.390603,4,true,4.337,"151 0 66 166"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-25.930980,5,true,6.943,"151 0 66 166 103"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-25.525658,6,true,8.659,"151 0 66 169 103 168"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.632754,3,true,10.025,"90 642 355"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.467808,4,true,10.006,"284 240 618 268"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.334288,5,true,10.033,"307 327 705 269 517"
