config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.192700,20,true,5.596,"17 156 21 72 168 2 31 7 177 79 170 88 12 194 183 150 95 143 113 188"
GRASP_FI_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,10,false,-0.192700,20,true,4.863,"31 194 168 21 72 79 88 95 113 143 156 170 12 17 177 183 188 2 7 150"
RPG_p=20,2-FACE.i,200,20,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,10,false,-0.192700,20,true,10.327,"12 21 88 2 170 113 72 168 95 143 188 7 156 79 150 31 17 177 183 194"
GRASP_POP_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,10,true,-0.193075,20,true,11.941,"194 170 88 72 188 156 150 79 95 2 9 17 183 124 21 31 177 143 113 167"
GRASP_WLS_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.198330,20,true,10.064,"187 193 16 197 106 95 21 11 87 80 150 73 2 31 170 167 143 111 6 178"
GRASP_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.160309,25,true,13.525,"156 79 183 162 88 185 2 72 16 11 21 168 170 177 6 27 195 31 95 124 113 142 151 42 147"
GRASP_FI_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,10,false,-0.160050,25,true,11.017,"31 72 168 183 113 27 12 7 16 21 42 79 95 142 147 156 151 162 2 177 185 195 88 124 170"
RPG_p=20,2-FACE.i,200,25,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,10,true,-0.160902,25,true,12.448,"6 195 2 11 113 155 177 42 167 79 124 142 170 72 27 31 21 88 151 16 161 95 183 185 147"
GRASP_POP_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,10,false,-0.160050,25,true,3.231,"72 95 168 170 7 27 183 177 31 2 156 21 88 79 113 162 16 147 185 142 12 42 195 151 124"
GRASP_WLS_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.165597,25,true,10.043,"193 187 15 155 107 95 21 88 80 8 171 2 71 168 151 31 142 27 113 177 162 146 44 123 13"
GRASP_alpha=0.050000,200DATA.I,200,20,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.104751,20,true,4.241,"28 98 135 99 118 17 25 65 126 120 78 47 169 40 154 178 18 91 70 150"
GRASP_FI_alpha=0.050000,200DATA.I,200,20,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,10,true,-0.104781,20,true,11.514,"36 118 28 47 121 20 40 70 91 98 99 78 150 154 169 178 14 7 126 135"
RPG_p=20,200DATA.I,200,20,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,10,true,-0.104802,20,true,11.989,"98 28 169 118 65 121 47 17 178 137 78 150 154 25 99 18 40 91 128 70"
GRASP_POP_alpha=0.050000,200DATA.I,200,20,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,10,true,-0.104781,20,true,11.830,"99 118 78 178 169 28 36 126 47 98 135 120 91 154 40 70 14 150 7 20"
GRASP_WLS_alpha=0.050000,200DATA.I,200,20,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.108248,20,true,10.015,"56 175 126 49 60 65 118 150 27 105 169 89 132 79 28 25 18 154 120 109"
