config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,time_to_solution_s,elements
GRASP_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.677785,3,true,37,37,16 68 49
GRASP_FI_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.677785,3,true,20,20,16 49 68
RPG_p=20,2-FACE.i,200,3,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.677785,3,true,27,27,16 68 49
GRASP_POP_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.677785,3,true,35,35,49 16 68
GRASP_WLS_alpha=0.050000,2-FACE.i,200,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.683871,3,true,10002,6291,190 68 16
GRASP_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.592568,4,true,50,50,16 57 154 50
GRASP_FI_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.592568,4,true,117,117,16 50 57 154
RPG_p=20,2-FACE.i,200,4,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.592568,4,true,538,538,50 16 154 57
GRASP_POP_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.592568,4,true,83,83,16 57 154 50
GRASP_WLS_alpha=0.050000,2-FACE.i,200,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.593116,4,true,10005,2618,57 51 16 154
GRASP_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.513669,5,true,64,64,16 154 46 58 106
GRASP_FI_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.513669,5,true,133,133,16 46 58 106 154
RPG_p=20,2-FACE.i,200,5,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.513669,5,true,60,60,46 16 106 154 58
GRASP_POP_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.513669,5,true,81,81,46 106 16 58 154
GRASP_WLS_alpha=0.050000,2-FACE.i,200,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.516126,5,true,10007,6836,193 47 16 154 106
GRASP_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.455188,6,true,233,233,194 186 16 106 154 85
GRASP_FI_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.455188,6,true,217,217,106 16 154 186 194 85
RPG_p=20,2-FACE.i,200,6,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.455188,6,true,135,135,16 106 85 194 154 186
GRASP_POP_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.455188,6,true,173,173,16 194 154 106 186 85
GRASP_WLS_alpha=0.050000,2-FACE.i,200,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.457048,6,true,10001,5325,194 189 16 155 106 84
GRASP_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.192856,20,true,11035,3866,17 150 2 31 72 185 183 170 79 21 95 194 156 177 9 88 143 168 113 42
GRASP_FI_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,true,-0.192959,20,true,11281,4782,194 170 72 31 11 79 88 95 113 143 150 156 168 188 2 6 177 183 17 21
RPG_p=20,2-FACE.i,200,20,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.192700,20,true,10596,10596,188 168 12 31 88 170 72 183 79 113 156 95 17 2 7 21 177 150 143 194
GRASP_POP_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,true,-0.192856,20,true,12352,2729,194 95 88 168 72 156 150 79 143 2 9 170 183 177 31 17 21 42 185 113
GRASP_WLS_alpha=0.050000,2-FACE.i,200,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.197542,20,true,10006,9784,191 185 15 156 198 95 21 89 92 71 2 9 168 136 31 111 40 27 170 145
GRASP_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.160050,25,true,7215,7215,16 2 124 95 177 147 79 185 183 88 170 21 156 72 7 12 162 142 27 195 168 31 151 113 42
GRASP_FI_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,true,-0.160309,25,true,12574,12574,21 79 72 31 27 2 11 6 16 88 95 113 151 142 147 177 185 195 168 124 162 170 183 42 156
RPG_p=20,2-FACE.i,200,25,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.160050,25,true,4083,4083,12 2 151 21 168 7 27 124 72 16 79 170 156 162 88 95 42 142 195 31 113 177 183 185 147
GRASP_POP_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.160050,25,true,4313,4313,168 170 7 31 2 27 72 156 88 21 183 177 79 95 113 124 162 185 142 12 42 16 195 151 147
GRASP_WLS_alpha=0.050000,2-FACE.i,200,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.166776,25,true,10033,658,187 64 16 155 107 83 20 12 88 79 73 170 167 2 151 31 141 7 112 177 161 124 28 41 147
GRASP_alpha=0.050000,200DATA.I,200,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.371755,3,true,20,20,65 171 129
GRASP_FI_alpha=0.050000,200DATA.I,200,3,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.371755,3,true,48,48,65 129 171
RPG_p=20,200DATA.I,200,3,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.371755,3,true,19,19,65 171 129
GRASP_POP_alpha=0.050000,200DATA.I,200,3,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.371755,3,true,24,24,65 171 129
GRASP_WLS_alpha=0.050000,200DATA.I,200,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.371891,3,true,10004,3099,63 175 129
GRASP_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.265603,4,true,41,41,171 57 129 54
GRASP_FI_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.265603,4,true,62,62,54 57 129 171
RPG_p=20,200DATA.I,200,4,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.265603,4,true,36,36,57 54 171 129
GRASP_POP_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.265603,4,true,57,57,171 129 57 54
GRASP_WLS_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.267518,4,true,10005,7838,57 171 136 52
GRASP_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.233494,5,true,134,134,171 63 129 61 53
GRASP_FI_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.233494,5,true,89,89,53 61 63 129 171
RPG_p=20,200DATA.I,200,5,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.233494,5,true,247,247,63 61 171 129 53
GRASP_POP_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,true,-0.237692,5,true,10055,65,171 57 129 41 59
